["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,primal,dual,solver
6.319934e+00,5501,6.37987896326420e-08,1.94047286127894e-01,1.94047349926684e-01,1.94029115243842e-01,1.82346828414282e-05,lamp_kernel
6.614141e+00,5751,4.90390696511710e-08,1.94047144831652e-01,1.94047193870722e-01,1.94029884820988e-01,1.73090497343764e-05,lamp_kernel
6.908137e+00,6001,3.58581607967749e-08,1.94047018344674e-01,1.94047054202834e-01,1.94030623862249e-01,1.64303405854327e-05,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
8.935900e-05,1,1.46930693069307e+00,3.44979046533790e-01,1.81428597722686e+00,0.00000000000000e+00,1.81428597722686e+00,lamp_kernel
2.851537e-01,251,4.73982282908948e-04,1.46497953009284e-01,1.46971935292193e-01,1.44652727650266e-01,2.31920764192697e-03,lamp_kernel
5.661797e-01,501,5.16641873621221e-05,1.45730925493363e-01,1.45782589680725e-01,1.45060846334349e-01,7.21743346376313e-04,lamp_kernel
8.474207e-01,751,1.89054237308244e-05,1.45593399816196e-01,1.45612305239927e-01,1.45262482105697e-01,3.49823134230182e-04,lamp_kernel
1.129569e+00,1001,2.70988351300502e-06,1.45542502487375e-01,1.45545212370888e-01,1.45334910445934e-01,2.10301924954304e-04,lamp_kernel
1.418866e+00,1251,4.37990292613524e-06,1.45516890541884e-01,1.45521270444810e-01,1.45389073429756e-01,1.32197015053903e-04,lamp_kernel
1.711648e+00,1501,1.18201136215959e-06,1.45502224530276e-01,1.45503406541638e-01,1.45406709196314e-01,9.66973453236375e-05,lamp_kernel
1.999883e+00,1751,8.28285553511046e-07,1.45493067545189e-01,1.45493895830743e-01,1.45417230062392e-01,7.66657683509975e-05,lamp_kernel
2.285731e+00,2001,5.33450390031277e-07,1.45486923286105e-01,1.45487456736495e-01,1.45424698559264e-01,6.27581772305319e-05,lamp_kernel
2.572016e+00,2251,3.89665580843751e-07,1.45482605534997e-01,1.45482995200578e-01,1.45429583662092e-01,5.34115384859257e-05,lamp_kernel
2.858572e+00,2501,3.33082613793881e-07,1.45479485052994e-01,1.45479818135608e-01,1.45433862962118e-01,4.59551734891817e-05,lamp_kernel
3.145180e+00,2751,2.46973064282635e-07,1.45477185094988e-01,1.45477432068052e-01,1.45437610176670e-01,3.98218913818527e-05,lamp_kernel
3.431836e+00,3001,2.07886528282528e-07,1.45475457036736e-01,1.45475664923264e-01,1.45440936998456e-01,3.47279248089916e-05,lamp_kernel
