cross_term_1,cross_term_2,diff,cumsum
6.306851272218712e-9,1.0229224383185006e-15,-6.306850249296274e-9,-0.05765383789142425
6.0974544774213906e-9,1.0531826968210024e-15,-6.097453424238694e-9,-0.05765396180696634
5.901200957604597e-9,9.668702871137885e-16,-5.90119999073431e-9,-0.05765408167444544
5.717016589814479e-9,9.126773132161324e-16,-5.7170156771371655e-9,-0.05765419774528782
5.543920513669066e-9,9.381204609913685e-16,-5.5439195755486055e-9,-0.05765431025042815
5.381016880930007e-9,8.097638981353937e-16,-5.381016071166109e-9,-0.05765441940209012
5.227488110482342e-9,7.972039027475642e-16,-5.2274873132784385e-9,-0.05765452539541472
5.082587857059894e-9,8.053754131229332e-16,-5.082587051684481e-9,-0.0576546284099492
4.945634941706013e-9,7.937863448008885e-16,-4.945634147919669e-9,-0.05765472861100747
4.816007447404887e-9,7.519246823216939e-16,-4.8160066954802045e-9,-0.05765482615091149
4.693137786540314e-9,6.550129239917786e-16,-4.69313713152739e-9,-0.05765492117012478
4.576507894379756e-9,6.743873867039266e-16,-4.576507219992369e-9,-0.05765501379828576
4.4656445998276066e-9,6.219211386452898e-16,-4.465643977906468e-9,-0.057655104155150225
4.360116074965531e-9,6.202334424070216e-16,-4.360115454732089e-9,-0.05765519235145054
4.25952753164634e-9,5.640608099056873e-16,-4.25952696758553e-9,-0.05765527848967748
4.1635199263246765e-9,5.527526247748775e-16,-4.163519373572052e-9,-0.05765536266479864
4.072135370251371e-9,6.018816341689896e-16,-4.072134768369737e-9,-0.05765544496638818
4.1002155514041055e-9,2.140176201735019e-15,-4.100213411227904e-9,-0.057655525945538875
4.094374016933895e-9,6.31271287584491e-15,-4.09436770422102e-9,-0.05765561463932379
3.8048885927043795e-9,7.765739446521314e-16,-3.8048878161304345e-9,-0.05765569214578983
3.7266958032641844e-9,3.889614014251937e-16,-3.726695414302783e-9,-0.05765576741283156
3.652188889377288e-9,5.714572841263273e-16,-3.652188317920004e-9,-0.05765584115972022
3.580432013299037e-9,3.6884778667237464e-16,-3.58043164445125e-9,-0.0576559134455191
3.511318239622557e-9,5.146653191194857e-16,-3.511317724957238e-9,-0.05765598432425753
3.444621560317597e-9,4.1639921466469153e-16,-3.4446211439183824e-9,-0.05765605384638102
3.3802427450374932e-9,5.065955283495105e-16,-3.3802422384419647e-9,-0.05765612205909663
3.3180086632952655e-9,3.5997886554939463e-16,-3.3180083033164e-9,-0.057656189007041156
3.2578131664985794e-9,4.2771468146525953e-16,-3.257812738783898e-9,-0.057656254731839496
3.1995321756417254e-9,3.678912031641628e-16,-3.199531807750522e-9,-0.05765631927308409
